h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon,__file,tau_end,vi_context,source
Q1306742,Hoàng Minh Chính,bornIn,Q6961159,Nam Trực,1922.0,,,20.3365,106.2167,historical_figures.csv,,,
Q1323584,Lưu Thị Diễm Hương,bornIn,Q1854,Thành phố Hồ Chí Minh,1990.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
Q1464707,Lê Lương Minh,bornIn,Q36512,Thanh Hóa,1952.0,,,20.0,105.5,historical_figures.csv,,,
Q1111868,Nguyễn Tuân,bornIn,Q10800942,Nhân Chính,1910.0,,,21.003888888889,105.80305555556,historical_figures.csv,,,
Q1747187,Mai Văn Hòa,bornIn,Q1858,Hà Nội,1927.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1381649,Men Nguyễn,bornIn,Q25315,Phan Thiết,1954.0,,,10.9375,108.15833333333,historical_figures.csv,,,
Q1317986,Lê Trung Tông,bornIn,Q2421186,Cố đô Hoa Lư,983.0,,,20.25527778,105.95416667,historical_figures.csv,,,
Q1678059,Giacôbê Nguyễn Văn Mầu,bornIn,Q2202401,Bà Rịa,1914.0,,,10.4990423,107.167469,historical_figures.csv,,,
Q1767581,Đèo Nàng Tỏi,bornIn,Q6650220,Mường Lay,1914.0,,,22.067777777778,103.15055555556,historical_figures.csv,,,
Q1611010,Vũ Trọng Phụng,bornIn,Q1858,Hà Nội,1912.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1089003,Chu Hoàng Diệu Linh,bornIn,Q1858,Hà Nội,1994.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1155852,Học Phi,bornIn,Q7801034,Tiên Lữ,1913.0,,,20.700014,106.118414,historical_figures.csv,,,
Q1146459,Marcel Nguyễn Tân Văn,bornIn,Q33381,Bắc Ninh,1928.0,,,21.18608,106.07631,historical_figures.csv,,,
Q1237486,Đa Minh Maria Hồ Ngọc Cẩn,bornIn,Q881,Việt Nam,1876.0,,,16.0,108.0,historical_figures.csv,,,
Q1923822,Phương Thanh,bornIn,Q36512,Thanh Hóa,1973.0,,,20.0,105.5,historical_figures.csv,,,
Q1387073,Nguyễn Văn Lém,bornIn,Q105076326,Sài Gòn,1933.0,,,10.8,106.65,historical_figures.csv,,,
Q1653599,Vũ Thị Trang,bornIn,Q36367,Bắc Giang,1992.0,,,21.333333333333,106.43333333333,historical_figures.csv,,,
Q1879535,Lê Thu Huyền,bornIn,Q1858,Hà Nội,1994.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1315961,Vũ Hà Văn,bornIn,Q1858,Hà Nội,1970.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1450861,Phanxicô Xaviê Lê Văn Hồng,bornIn,Q1320413,Quảng Trị,1940.0,,,16.751162,107.185691,historical_figures.csv,,,
Q1156424,Hằng Phương,bornIn,Q725063,Điện Bàn,1908.0,,,15.888472222222,108.25456666667,historical_figures.csv,,,
Q1320245,Kiều Chinh,bornIn,Q1858,Hà Nội,1937.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1320245,Kiều Chinh,bornIn,Q1858,Hà Nội,1939.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1111882,Lê Văn Hưu,bornIn,Q5295770,Đông Sơn,1230.0,,,19.79742,105.72465,historical_figures.csv,,,
Q1391896,Nguyễn Quốc Quân,bornIn,Q881,Việt Nam,1953.0,,,16.0,108.0,historical_figures.csv,,,
Q1073778,Phan Xích Long,bornIn,Q25897,Tân An,1893.0,,,10.532222222222,106.40416666667,historical_figures.csv,,,
Q1320534,Phạm Văn Trà,bornIn,Q1924544,Quế Võ,1935.0,,,21.146111111111,106.17305555556,historical_figures.csv,,,
Q1934886,Lê Nam,bornIn,Q408,Úc,1978.0,,,-25.0,133.0,historical_figures.csv,,,
Q1934886,Lê Nam,bornIn,Q408,Úc,1979.0,,,-25.0,133.0,historical_figures.csv,,,
Q1155829,Vân Đài,bornIn,Q1858,Hà Nội,1903.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1387599,Ngô Minh Chiêu,bornIn,Q1854,Thành phố Hồ Chí Minh,1878.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
Q1155848,Mộng Tuyết,bornIn,Q800154,Hà Tiên,1914.0,,,10.38333333,104.48333333,historical_figures.csv,,,
Q1320128,Đặng Hữu Phúc,bornIn,Q36610,Phú Thọ,1953.0,,,21.333333333333,105.16666666667,historical_figures.csv,,,
Q1073778,Phan Xích Long,bornIn,Q2405555,Chợ Lớn,1893.0,,,10.7514918,106.6604732,historical_figures.csv,,,
Q1354916,Nguyễn Tường Tam,bornIn,Q3031197,Cẩm Giàng,1906.0,,,20.95,106.22083333333,historical_figures.csv,,,
Q1436177,Nguyễn Hoàng Hải,bornIn,Q36367,Bắc Giang,1986.0,,,21.333333333333,106.43333333333,historical_figures.csv,,,
Q1708101,Giuse Trần Xuân Tiếu,bornIn,Q33682,Nam Định,1945.0,,,20.42,106.16833333333,historical_figures.csv,,,
Q1156050,Trần Ích Tắc,bornIn,Q1858,Hà Nội,1254.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1295622,Giuse Vũ Văn Thiên,bornIn,Q36729,Hải Dương,1960.0,,,20.916666666667,106.33333333333,historical_figures.csv,,,
