h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon
Q1230358,Battle of Hill 881,occurredAt,Q36579,Quảng Trị,1967,,,16.75,107.0
Q2889101,Trận Làng Vây,occurredAt,Q36579,Quảng Trị,1968,16.60972222,106.69611111,16.75,107.0
Q2237223,Chiến dịch Trị Thiên,occurredAt,Q36579,Quảng Trị,1972,16.733,106.967,16.75,107.0
Q23020683,Trận Cao Bằng 1979,occurredAt,Q36865,Cao Bằng,1979,,,22.75,106.08333333333
Q796498,Chiến tranh Đông Dương lần thứ ba,occurredAt,Q43467,bán đảo Đông Dương,1975,,,16.0,102.0
Q4872138,Battle of Quang Tri,occurredAt,Q36579,Quảng Trị,1968,16.74027778,107.1875,16.75,107.0
Q4871591,Trận Long Khánh,occurredAt,Q6672777,Long Khánh,1971,10.79,107.26,,
Q89930532,trận Bình Lệ Nguyên,occurredAt,Q10742455,Bình Lệ Nguyên,1258,21.466666666667,105.75,,
Q4870932,Battle of Duc Lap,occurredAt,Q19840068,Trại Đức Lập,1968,,,,
Q65069176,Tet Offensive attack on US Embassy,occurredAt,Q894834,Đại sứ quán Hoa Kỳ tại Sài Gòn,1968,10.7833,106.7004,,
Q55605032,Battle of Landing Zone Center,occurredAt,Q2538777,Quảng Tín,1968,,,,
Q962370,Trận Hà Nội 1946,occurredAt,Q1858,Hà Nội,1946,21.033333333333,105.85,21.0245,105.84117
Q1320031,Trận Bình Giã,occurredAt,Q672063,Bình Giã,1964,10.65,107.28333333,10.640833333333,107.28861111111
Q3381201,Trận An Lão,occurredAt,Q4750136,An Lão,1964,14.558333333333,108.8,14.55676,108.801
Q4870828,Trận Cầu Giấy (1883),occurredAt,Q267015,Cầu Giấy,1883,,,21.03,105.79
Q519060,Battle of Palan,occurredAt,Q1858,Hà Nội,1883,,,21.0245,105.84117
Q259526,Trận Long Tân,occurredAt,Q3138964,Long Tân,1966,10.553888888889,107.25888888889,10.43694,107.27694
Q796498,Chiến tranh Đông Dương lần thứ ba,occurredAt,Q881,Việt Nam,1975,,,16.0,108.0
Q3539853,Trận Ngọc Hồi – Đống Đa,occurredAt,Q1048634,Đống Đa,1788,,,21.017951,105.824247
Q2026397,Chiến dịch Speedy Express,occurredAt,Q1052867,Đồng bằng sông Cửu Long,1968,,,10.04,105.8
Q16208767,Trận Lào Cai,occurredAt,Q36446,Lào Cai,1979,,,22.3,104.16666666667
Q588774,Trận Đồng Xoài,occurredAt,Q665981,Đồng Xoài,1965,11.537222222222,106.89611111111,11.520833333333,106.85
Q4872569,Battle of Tonkin River,occurredAt,Q10771669,Hải Phong,1849,,,20.141388888889,106.22361111111
Q3539853,Trận Ngọc Hồi – Đống Đa,occurredAt,Q7189887,Phú Xuân,1788,,,10.624444444444,105.28916666667
Q4273438,Trận Kontum,occurredAt,Q36493,Kon Tum,1972,14.3561,108.008,14.354444444444,108.0075
Q487431,Trận Quang Thạnh,occurredAt,Q10828503,Trà Bình,1967,,,15.24388889,108.6133333
Q131438310,Trận thành Đông Quan,occurredAt,Q1858,Hà Nội,1426,,,21.0245,105.84117
Q130616488,Chiến dịch Hoàng Diệu,occurredAt,Q105076326,Sài Gòn,1955,,,10.775522,106.702093
Q692885,Vụ tập kích Sơn Tây,occurredAt,Q1365138,Sơn Tây,1970,21.1446,105.4958,21.133333333333,105.5
Q550500,Trận Nam Đông,occurredAt,Q6961080,Nam Đông,1964,16.1175,107.678,16.12396,107.6927
Q796498,Chiến tranh Đông Dương lần thứ ba,occurredAt,Q424,Campuchia,1975,,,12.5,105.0
Q4873055,Trận Đức Cơ,occurredAt,Q5311199,Đức Cơ,1966,,,13.78454,107.6697
Q85745930,Battle of South Saigon,occurredAt,Q5283273,Quận 8,1968,10.747,106.68,10.726944444444,106.63722222222
Q487431,Trận Quang Thạnh,occurredAt,Q10828503,Trà Bình,1967,,,15.241388888889,108.60861111111
Q796498,Chiến tranh Đông Dương lần thứ ba,occurredAt,Q11708,Đông Nam Á,1975,,,12.0,105.1
Q796498,Chiến tranh Đông Dương lần thứ ba,occurredAt,Q29520,Trung Quốc,1975,,,35.0,105.0
Q5036990,Trận Biên Hòa (1861-1862),occurredAt,Q19316,Biên Hòa,1861,10.95,106.816667,10.950764,106.822136
Q682195,Chiến dịch Masher,occurredAt,Q2276503,Bồng Sơn,1966,,,14.429350201128,109.01611375564
Q1465784,Trận Tầm Bó,occurredAt,Q7189910,Phước Tuy,1966,,,10.490704,107.168473
Q697053,Trận Mậu Thân tại Huế,occurredAt,Q36167,Huế,1968,16.4675,107.58,16.456111111111,107.57638888889
Q3380491,Trận Sài Gòn (1955),occurredAt,Q1854,Thành phố Hồ Chí Minh,1955,,,10.775555555556,106.70194444444
Q4871237,Chiến dịch Hòa Bình,occurredAt,Q36015,Hòa Bình,1951,20.8133,105.338,20.666666666667,105.33333333333
Q4871659,Trận Đắk Pơ,occurredAt,Q6748577,Mang Yang,1954,14.0,108.25,13.929166666667,108.30416666667
Q635533,Xung đột biên giới Việt Nam-Campuchia (1975-1979),occurredAt,Q424,Campuchia,1989,,,12.5,105.0
Q604897,Chiến dịch Điện Biên Phủ,occurredAt,Q36027,Điện Biên Phủ,1954,21.386944444444,103.01555555556,21.392377,103.015958
Q85745952,Battle of West Saigon,occurredAt,Q1854,Thành phố Hồ Chí Minh,1968,10.7465,106.624,10.775555555556,106.70194444444
Q2889611,Battle of Phu Tong Hoa,occurredAt,Q7189925,Phủ Thông,1948,22.283333333333,105.88305555556,22.2725,105.87805555556
Q2889446,Battle of Na San,occurredAt,Q33379,Sơn La,1952,21.2154,104.036,21.166666666667,104.0
Q220882,Chiến dịch Junction City,occurredAt,Q130391,Tây Ninh,1967,,,11.3130942,106.096344
Q2889611,Battle of Phu Tong Hoa,occurredAt,Q7189925,Phủ Thông,1948,22.283333333333,105.88305555556,22.333333333333,105.9
Q1272544,Operation Dewey Canyon,occurredAt,Q4073426,Thung lũng A Sầu,1969,,,16.259305555556,107.2125
