h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon
Q553710,Lê Huỳnh Châu,bornIn,Q1854,Thành phố Hồ Chí Minh,1987,,,10.775555555556,106.70194444444
Q1306742,Hoàng Minh Chính,bornIn,Q6961159,Nam Trực,1922,,,20.3365,106.2167
Q1033985,Đặng Trần Côn,bornIn,Q1858,Hà Nội,1710,,,21.0245,105.84117
Q1033943,Lê Ý Tông,bornIn,Q1858,Hà Nội,1719,,,21.0245,105.84117
Q75404,Phan Khôi,bornIn,Q725063,Điện Bàn,1887,,,15.888472222222,108.25456666667
Q10796457,Mạc Can,bornIn,Q1854,Thành phố Hồ Chí Minh,1945,,,10.775555555556,106.70194444444
Q1317986,Lê Trung Tông,bornIn,Q2421186,Cố đô Hoa Lư,983,,,20.25527778,105.95416667
Q57400,Nguyễn Minh Triết,bornIn,Q1758262,Bến Cát,1942,,,11.1327465,106.6084327
Q705695,Trần Tự Khánh,bornIn,Q5942559,Hưng Hà,1150,,,20.583,106.167
Q1155852,Học Phi,bornIn,Q7801034,Tiên Lữ,1913,,,20.700014,106.118414
Q1146459,Marcel Nguyễn Tân Văn,bornIn,Q33381,Bắc Ninh,1928,,,21.18608,106.07631
Q1237486,Đa Minh Maria Hồ Ngọc Cẩn,bornIn,Q881,Việt Nam,1876,,,16.0,108.0
Q1057829,Elly Trần,bornIn,Q1854,Thành phố Hồ Chí Minh,1987,,,10.775555555556,106.70194444444
Q57600,Nguyễn Tấn Dũng,bornIn,Q25262,Cà Mau,1949,,,9.1833333333333,105.15
Q49037,Lê Duy Loan,bornIn,Q19491,Nha Trang,1962,,,12.245,109.19166666667
Q3132804,Phạm Xuân Ẩn,bornIn,Q19316,Biên Hòa,1927,,,10.950764,106.822136
Q1315961,Vũ Hà Văn,bornIn,Q1858,Hà Nội,1970,,,21.0245,105.84117
Q649858,Chu Huy Mân,bornIn,Q33428,Vinh,1913,,,18.673333333333,105.69222222222
Q710698,Giuse Ngô Quang Kiệt,bornIn,Q391406,Thánh địa Mỹ Sơn,1952,,,15.76324,108.124446
Q153576,Nguyễn Linh Nga,bornIn,Q1858,Hà Nội,1982,,,21.0245,105.84117
Q1033931,Lê Thần Tông,bornIn,Q1858,Hà Nội,1607,,,21.0245,105.84117
Q586004,Nguyễn Nhạc,bornIn,Q36693,Bình Định,1743,,,14.166666666667,109.0
Q1062988,Nguyễn Phúc Chu,bornIn,Q1827039,Đàng Trong,1675,,,,
Q578066,Như Loan,bornIn,Q35620,Bảo Lộc,1981,,,11.547980555556,107.80771944444
Q1320245,Kiều Chinh,bornIn,Q1858,Hà Nội,1937,,,21.0245,105.84117
Q1320245,Kiều Chinh,bornIn,Q1858,Hà Nội,1939,,,21.0245,105.84117
Q545539,Trường Chinh,bornIn,Q33304,Quảng Ngãi,1907,,,15.0,108.66666666667
Q182224,Nguyễn Hải Thần,bornIn,Q864581,Thường Tín,1890,,,20.84537,105.87279
Q672819,Huỳnh Quang Thanh,bornIn,Q1854,Thành phố Hồ Chí Minh,1984,,,10.775555555556,106.70194444444
Q1073778,Phan Xích Long,bornIn,Q25897,Tân An,1893,,,10.532222222222,106.40416666667
Q1036300,Xuân Diệu,bornIn,Q36693,Bình Định,1916,,,14.166666666667,109.0
Q57400,Nguyễn Minh Triết,bornIn,Q1758262,Bến Cát,1942,,,10.211666666667,106.60777777778
Q700897,Hoàng Văn Thái,bornIn,Q800054,Tiền Hải,1915,,,20.405467,106.503772
Q1155829,Vân Đài,bornIn,Q1858,Hà Nội,1903,,,21.0245,105.84117
