h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon
Q113457479,Bưu điện Hà Nội,locatedIn,Q1134529,Hoàn Kiếm,,21.0266106,105.8535267,21.02858,105.850613
Q24957572,Đền Thượng,locatedIn,Q10787435,Lào Cai,,,,22.49861111,103.9855556
Q137452374,Đình Hiệp Ninh,locatedIn,Q130391,Tây Ninh,1880,11.3064235,106.0982276,11.3130942,106.096344
Q108872896,Bảo tàng tỉnh Yên Bái,locatedIn,Q26019,Yên Bái,,21.728265116822,104.89970121215,21.7325,104.90638888889
Q113457479,Bưu điện Hà Nội,locatedIn,Q16480212,Tràng Tiền,,21.0266106,105.8535267,21.025555555556,105.85472222222
Q108875690,Bảo tàng Bắc Ninh,locatedIn,Q33408,Bắc Ninh,,,,21.1,106.1
Q31992793,Thành cổ Biên Hòa,locatedIn,Q19316,Biên Hòa,,10.9508,106.817054,10.950764,106.822136
Q391406,Thánh địa Mỹ Sơn,locatedIn,Q25282,Đà Nẵng,,15.76324,108.124446,16.069444444444,108.20972222222
Q1835176,Bảo tàng Hà Nội,locatedIn,Q1858,Hà Nội,2010,21.011,105.786,21.0245,105.84117
Q110889091,Bảo tàng tỉnh Hải Dương,locatedIn,Q36729,Hải Dương,,20.944332719741,106.3302109,20.916666666667,106.33333333333
Q111427470,Bảo tàng tỉnh Bạc Liêu,locatedIn,Q36658,Bạc Liêu,,9.287662768152,105.72518463069,9.3,105.5
Q111016726,Bảo tàng tỉnh Lạng Sơn,locatedIn,Q33403,Lạng Sơn,,21.845154757817,106.75772978466,21.75,106.5
Q111427748,Bảo tàng tỉnh Quảng Nam,locatedIn,Q33356,Quảng Nam,,15.579918402228,108.47558421534,15.55,108.05
Q113457479,Bưu điện Hà Nội,locatedIn,Q1858,Hà Nội,,21.0266106,105.8535267,21.0245,105.84117
Q798059,Cổ Loa,locatedIn,Q135672028,Đông Anh (huyện),,21.113408,105.873206,21.14144,105.844945
Q109121937,Bảo tàng tỉnh Hà Tĩnh,locatedIn,Q33351,Hà Tĩnh,,18.343992534454,105.903972,18.333333333333,105.9
Q864767,Bảo tàng Thành phố Hồ Chí Minh,locatedIn,Q135026770,Sài Gòn,1890,10.77611111,106.69972222,10.780555555556,106.69916666667
Q10796139,Mái Đá Ngườm,locatedIn,Q10826368,Thần Sa,,,,21.8375,105.8988889
Q10796139,Mái Đá Ngườm,locatedIn,Q10826368,Thần Sa,,,,21.826666666667,105.89722222222
Q16481025,Đan viện Châu Sơn,locatedIn,Q7023368,Nho Quan,,20.341222222222,105.73377777778,20.333,105.75
Q864767,Bảo tàng Thành phố Hồ Chí Minh,locatedIn,Q135026770,Sài Gòn,1890,10.77611111,106.69972222,10.780277777778,106.70305555556
Q6941045,Bảo tàng Lịch sử Thành phố Hồ Chí Minh,locatedIn,Q1854,Thành phố Hồ Chí Minh,1929,10.78484,106.70759,10.775555555556,106.70194444444
Q933384,Dinh Độc Lập,locatedIn,Q1854,Thành phố Hồ Chí Minh,1955,10.77705,106.69537,10.775555555556,106.70194444444
Q10840076,Đan viện Cát Minh Sài Gòn,locatedIn,Q135026770,Sài Gòn,,10.783183,106.704349,10.780555555556,106.69916666667
Q18207723,Bảo tàng Lực lượng Vũ trang miền Đông Nam Bộ,locatedIn,Q1854,Thành phố Hồ Chí Minh,1988,10.8,106.666,10.775555555556,106.70194444444
Q109438230,Tháp Vĩnh Hưng,locatedIn,Q10833569,Vĩnh Hưng A,900,9.3930840095307,105.5781835,9.3969444444444,105.58055555556
Q10840076,Đan viện Cát Minh Sài Gòn,locatedIn,Q135026770,Sài Gòn,,10.783183,106.704349,10.780277777778,106.70305555556
Q7932540,Chùa Vĩnh Tràng,locatedIn,Q33425,Mỹ Tho,,10.362809,106.373749,10.36,106.36
Q6941009,Bảo tàng Văn hóa Sa Huỳnh,locatedIn,Q36160,Hội An,,15.877005,108.326415,15.877669444444,108.33265
Q109120707,Bảo tàng tỉnh Nam Định,locatedIn,Q36907,Nam Định,,20.424513864117,106.17372102328,20.25,106.25
Q18415661,Điện Kính Thiên,locatedIn,Q1858,Hà Nội,1428,21.037661908352,105.84109896084,21.0245,105.84117
