h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon,h_in_vn,t_in_vn
Q553710,Lê Huỳnh Châu,bornIn,Q1854,Thành phố Hồ Chí Minh,1987.0,10.775555555556,106.70194444444,10.775555555556,106.70194444444,True,True
Q1306742,Hoàng Minh Chính,bornIn,Q6961159,Nam Trực,1922.0,20.3365,106.2167,20.3365,106.2167,True,True
Q1033985,Đặng Trần Côn,bornIn,Q1858,Hà Nội,1710.0,21.0245,105.84117,21.0245,105.84117,True,True
Q1033943,Lê Ý Tông,bornIn,Q1858,Hà Nội,1719.0,21.0245,105.84117,21.0245,105.84117,True,True
Q75404,Phan Khôi,bornIn,Q725063,Điện Bàn,1887.0,15.888472222222,108.25456666667,15.888472222222,108.25456666667,True,True
Q10796457,Mạc Can,bornIn,Q1854,Thành phố Hồ Chí Minh,1945.0,10.775555555556,106.70194444444,10.775555555556,106.70194444444,True,True
Q1317986,Lê Trung Tông,bornIn,Q2421186,Cố đô Hoa Lư,983.0,20.25527778,105.95416667,20.25527778,105.95416667,True,True
Q57400,Nguyễn Minh Triết,bornIn,Q1758262,Bến Cát,1942.0,11.1327465,106.6084327,11.1327465,106.6084327,True,True
Q705695,Trần Tự Khánh,bornIn,Q5942559,Hưng Hà,1150.0,20.583,106.167,20.583,106.167,True,True
Q1155852,Học Phi,bornIn,Q7801034,Tiên Lữ,1913.0,20.700014,106.118414,20.700014,106.118414,True,True
Q1146459,Marcel Nguyễn Tân Văn,bornIn,Q33381,Bắc Ninh,1928.0,21.18608,106.07631,21.18608,106.07631,True,True
Q1237486,Đa Minh Maria Hồ Ngọc Cẩn,bornIn,Q881,Việt Nam,1876.0,16.0,108.0,16.0,108.0,True,True
Q1057829,Elly Trần,bornIn,Q1854,Thành phố Hồ Chí Minh,1987.0,10.775555555556,106.70194444444,10.775555555556,106.70194444444,True,True
Q57600,Nguyễn Tấn Dũng,bornIn,Q25262,Cà Mau,1949.0,9.1833333333333,105.15,9.1833333333333,105.15,True,True
Q49037,Lê Duy Loan,bornIn,Q19491,Nha Trang,1962.0,12.245,109.19166666667,12.245,109.19166666667,True,True
Q3132804,Phạm Xuân Ẩn,bornIn,Q19316,Biên Hòa,1927.0,10.950764,106.822136,10.950764,106.822136,True,True
Q1315961,Vũ Hà Văn,bornIn,Q1858,Hà Nội,1970.0,21.0245,105.84117,21.0245,105.84117,True,True
Q649858,Chu Huy Mân,bornIn,Q33428,Vinh,1913.0,18.673333333333,105.69222222222,18.673333333333,105.69222222222,True,True
Q710698,Giuse Ngô Quang Kiệt,bornIn,Q391406,Thánh địa Mỹ Sơn,1952.0,15.76324,108.124446,15.76324,108.124446,True,True
Q153576,Nguyễn Linh Nga,bornIn,Q1858,Hà Nội,1982.0,21.0245,105.84117,21.0245,105.84117,True,True
Q1033931,Lê Thần Tông,bornIn,Q1858,Hà Nội,1607.0,21.0245,105.84117,21.0245,105.84117,True,True
Q586004,Nguyễn Nhạc,bornIn,Q36693,Bình Định,1743.0,14.166666666667,109.0,14.166666666667,109.0,True,True
Q1062988,Nguyễn Phúc Chu,bornIn,Q1827039,Đàng Trong,1675.0,,,,,True,True
Q578066,Như Loan,bornIn,Q35620,Bảo Lộc,1981.0,11.547980555556,107.80771944444,11.547980555556,107.80771944444,True,True
Q1320245,Kiều Chinh,bornIn,Q1858,Hà Nội,1937.0,21.0245,105.84117,21.0245,105.84117,True,True
Q1320245,Kiều Chinh,bornIn,Q1858,Hà Nội,1939.0,21.0245,105.84117,21.0245,105.84117,True,True
Q545539,Trường Chinh,bornIn,Q33304,Quảng Ngãi,1907.0,15.0,108.66666666667,15.0,108.66666666667,True,True
Q182224,Nguyễn Hải Thần,bornIn,Q864581,Thường Tín,1890.0,20.84537,105.87279,20.84537,105.87279,True,True
Q672819,Huỳnh Quang Thanh,bornIn,Q1854,Thành phố Hồ Chí Minh,1984.0,10.775555555556,106.70194444444,10.775555555556,106.70194444444,True,True
Q1073778,Phan Xích Long,bornIn,Q25897,Tân An,1893.0,10.532222222222,106.40416666667,10.532222222222,106.40416666667,True,True
Q1036300,Xuân Diệu,bornIn,Q36693,Bình Định,1916.0,14.166666666667,109.0,14.166666666667,109.0,True,True
Q57400,Nguyễn Minh Triết,bornIn,Q1758262,Bến Cát,1942.0,10.211666666667,106.60777777778,10.211666666667,106.60777777778,True,True
Q700897,Hoàng Văn Thái,bornIn,Q800054,Tiền Hải,1915.0,20.405467,106.503772,20.405467,106.503772,True,True
Q1155829,Vân Đài,bornIn,Q1858,Hà Nội,1903.0,21.0245,105.84117,21.0245,105.84117,True,True
Q210417,Gia Long,bornIn,Q36167,Huế,1762.0,16.456111111111,107.57638888889,16.456111111111,107.57638888889,True,True
Q1155848,Mộng Tuyết,bornIn,Q800154,Hà Tiên,1914.0,10.38333333,104.48333333,10.38333333,104.48333333,True,True
Q1320128,Đặng Hữu Phúc,bornIn,Q36610,Phú Thọ,1953.0,21.333333333333,105.16666666667,21.333333333333,105.16666666667,True,True
Q1073778,Phan Xích Long,bornIn,Q2405555,Chợ Lớn,1893.0,10.7514918,106.6604732,10.7514918,106.6604732,True,True
Q197941,Jane Lưu,bornIn,Q180573,Việt Nam Cộng hòa,1963.0,10.776944444444,106.69527777778,10.776944444444,106.69527777778,True,True
Q1033940,Mạc Mậu Hợp,bornIn,Q1858,Hà Nội,1560.0,21.0245,105.84117,21.0245,105.84117,True,True
Q1060315,Tôn Thất Thuyết,bornIn,Q36167,Huế,1839.0,16.456111111111,107.57638888889,16.456111111111,107.57638888889,True,True
Q1033935,Lê Thuần Tông,bornIn,Q1858,Hà Nội,1699.0,21.0245,105.84117,21.0245,105.84117,True,True
Q1156050,Trần Ích Tắc,bornIn,Q1858,Hà Nội,1254.0,21.0245,105.84117,21.0245,105.84117,True,True
Q704605,Phan Liêm,bornIn,Q2502014,Biên Hòa,1833.0,10.95,106.87388888889,10.95,106.87388888889,True,True
Q704226,Trịnh Kiểm,bornIn,Q36175,Thanh Hóa,1503.0,19.8075,105.77638888889,19.8075,105.77638888889,True,True
Q1295622,Giuse Vũ Văn Thiên,bornIn,Q36729,Hải Dương,1960.0,20.916666666667,106.33333333333,20.916666666667,106.33333333333,True,True
Q1284591,Giuse Vũ Duy Thống,bornIn,Q36681,Thái Bình,1952.0,20.5,106.33333333333,20.5,106.33333333333,True,True
Q182405,Emmanuel Lê Phong Thuận,bornIn,Q1927073,Chợ Mới,1930.0,10.479166666667,105.49166666667,10.479166666667,105.49166666667,True,True
Q178658,Lưu Huỳnh,bornIn,Q1854,Thành phố Hồ Chí Minh,2000.0,10.775555555556,106.70194444444,10.775555555556,106.70194444444,True,True
Q3089707,Frédéric Chau,bornIn,Q1854,Thành phố Hồ Chí Minh,1977.0,10.775555555556,106.70194444444,10.775555555556,106.70194444444,True,True
Q1063923,Bùi Thị Xuân,bornIn,Q1320837,Tây Sơn,1752.0,13.907494,108.922566,13.907494,108.922566,True,True
Q665382,Trần Trọng Kim,bornIn,Q7022325,Nghi Xuân,1883.0,18.625,105.76666666667,18.625,105.76666666667,True,True
Q3339372,Ngô Viết Thụ,bornIn,Q36399,Huế,1927.0,16.463888888889,107.58666666667,16.463888888889,107.58666666667,True,True
Q1155848,Mộng Tuyết,bornIn,Q800154,Hà Tiên,1914.0,10.383055555556,104.4875,10.383055555556,104.4875,True,True
Q1155848,Mộng Tuyết,bornIn,Q800154,Hà Tiên,1914.0,10.383333,104.483333,10.383333,104.483333,True,True
Q700879,Mai Hắc Đế,bornIn,Q10789959,Mai Phụ,,18.423055555556,105.89,18.423055555556,105.89,True,True
Q1033966,Lê Duy Phường,bornIn,Q1858,Hà Nội,1709.0,21.0245,105.84117,21.0245,105.84117,True,True
Q179910,Võ Nguyên Giáp,bornIn,Q3348089,Lộc Thủy,1911.0,17.2375,106.75361111111,17.2375,106.75361111111,True,True
Q35134,Thanh Hải Vô Thượng Sư,bornIn,Q33304,Quảng Ngãi,1950.0,15.0,108.66666666667,15.0,108.66666666667,True,True
Q3370463,Đỗ Thị Ngân Thương,bornIn,Q1858,Hà Nội,1989.0,21.0245,105.84117,21.0245,105.84117,True,True
Q1159527,Đặng Thái Sơn,bornIn,Q1858,Hà Nội,1958.0,21.0245,105.84117,21.0245,105.84117,True,True
Q3138876,Nguyễn Hoàng Ngân,bornIn,Q1858,Hà Nội,1984.0,21.0245,105.84117,21.0245,105.84117,True,True
Q10793709,Midu,bornIn,Q1854,Thành phố Hồ Chí Minh,1989.0,10.775555555556,106.70194444444,10.775555555556,106.70194444444,True,True
Q700879,Mai Hắc Đế,bornIn,Q10789959,Mai Phụ,,18.42305556,105.8961111,18.42305556,105.8961111,True,True
Q1073424,Huy Cận,bornIn,Q1749724,Vũ Quang,1919.0,18.3375,105.45,18.3375,105.45,True,True
Q1033947,Lê Chân Tông,bornIn,Q1858,Hà Nội,1630.0,21.0245,105.84117,21.0245,105.84117,True,True
Q562168,Trịnh Hữu Châu,bornIn,Q1854,Thành phố Hồ Chí Minh,1950.0,10.775555555556,106.70194444444,10.775555555556,106.70194444444,True,True
Q542508,Trịnh Thị Minh Hà,bornIn,Q1858,Hà Nội,1952.0,21.0245,105.84117,21.0245,105.84117,True,True
Q1134494,Dương Tam Kha,bornIn,Q881,Việt Nam,901.0,16.0,108.0,16.0,108.0,True,True
Q58170,Phạm Gia Khiêm,bornIn,Q1858,Hà Nội,1944.0,21.0245,105.84117,21.0245,105.84117,True,True
Q3141673,Hoàng Tụy,bornIn,Q671678,Điện Quang,1927.0,15.836944444444,108.18222222222,15.836944444444,108.18222222222,True,True
Q707287,Phan Khắc Sửu,bornIn,Q7333405,Vĩnh Long,1905.0,10.166666666667,106.0,10.166666666667,106.0,True,True
Q3206845,Trần Văn Trà,bornIn,Q33304,Quảng Ngãi,1918.0,15.0,108.66666666667,15.0,108.66666666667,True,True
Q3138870,Hoàng Minh Thảo,bornIn,Q36235,Hưng Yên,1921.0,20.816666666667,106.05,20.816666666667,106.05,True,True
Q57407,Trương Tấn Sang,bornIn,Q5311201,Đức Hòa,1949.0,10.879166666667,106.425,10.879166666667,106.425,True,True
Q1049682,Nguyễn Phúc Thuần,bornIn,Q1827039,Đàng Trong,1754.0,,,,,True,True
Q10793959,Minh Thuận,bornIn,Q1854,Thành phố Hồ Chí Minh,1969.0,10.775555555556,106.70194444444,10.775555555556,106.70194444444,True,True
Q699904,Ngô Quyền,bornIn,Q1858,Hà Nội,897.0,21.0245,105.84117,21.0245,105.84117,True,True
Q3274810,Lê Hiến Tông,bornIn,Q1858,Hà Nội,1461.0,21.0245,105.84117,21.0245,105.84117,True,True
Q553831,Huỳnh Phúc Hiệp,bornIn,Q5626082,Gò Công,1988.0,10.366666666667,106.66666666667,10.366666666667,106.66666666667,True,True
Q540994,Thiệu Trị,bornIn,Q36167,Huế,1807.0,16.456111111111,107.57638888889,16.456111111111,107.57638888889,True,True
Q647889,Cường Để,bornIn,Q36167,Huế,1882.0,16.456111111111,107.57638888889,16.456111111111,107.57638888889,True,True
Q557546,Trần Anh Hùng,bornIn,Q25282,Đà Nẵng,1962.0,16.069444444444,108.20972222222,16.069444444444,108.20972222222,True,True
Q1315921,Hàn Mặc Tử,bornIn,Q1877,Đồng Hới,1912.0,17.483333333333,106.6,17.483333333333,106.6,True,True
Q63594,Bùi Thanh Liêm,bornIn,Q1858,Hà Nội,1949.0,21.0245,105.84117,21.0245,105.84117,True,True
Q1155639,Vũ Ngọc Phan,bornIn,Q1858,Hà Nội,1902.0,21.0245,105.84117,21.0245,105.84117,True,True
Q585842,Antôn Nguyễn Văn Thiện,bornIn,Q216075,Cần Thơ,1906.0,10.1547298,105.5005357,10.1547298,105.5005357,True,True
Q197683,Trần Quang Diệu,bornIn,Q25282,Đà Nẵng,1760.0,16.069444444444,108.20972222222,16.069444444444,108.20972222222,True,True
Q81289,Nguyễn Chí Thiện,bornIn,Q1858,Hà Nội,1939.0,21.0245,105.84117,21.0245,105.84117,True,True
Q10794232,Miu Lê,bornIn,Q1854,Thành phố Hồ Chí Minh,1991.0,10.775555555556,106.70194444444,10.775555555556,106.70194444444,True,True
Q139324,Trần Đức Lương,bornIn,Q33304,Quảng Ngãi,1937.0,15.0,108.66666666667,15.0,108.66666666667,True,True
Q614544,Nguyễn Phúc Bảo Thăng,bornIn,Q25281,Đà Lạt,1943.0,11.94,108.4375,11.94,108.4375,True,True
Q1144138,Cường Vũ,bornIn,Q1854,Thành phố Hồ Chí Minh,1969.0,10.775555555556,106.70194444444,10.775555555556,106.70194444444,True,True
Q1156062,Hoàng Kế Viêm,bornIn,Q596473,Quảng Ninh,1820.0,17.233,106.55,17.233,106.55,True,True
Q1155303,Huyền Trân,bornIn,Q10825974,Thăng Long,1289.0,,,,,True,True
Q1013830,Kiều Công Tiễn,bornIn,Q7187240,Phong Châu,850.0,21.2817,105.442,21.2817,105.442,True,True
